,Table,Variable Names,Variables Types,Null Values
0,sqlite_sequence,name,,No
1,sqlite_sequence,seq,,No
2,artists,id,INTEGER,No
3,artists,name,VARCHAR(120),No
4,albums,id,INTEGER,No
5,albums,title,VARCHAR(160),No
6,albums,artist_id,INTEGER,No
7,employees,id,INTEGER,No
8,employees,last_name,VARCHAR(20),No
9,employees,first_name,VARCHAR(20),No
10,employees,title,VARCHAR(30),No
11,employees,reports_to,INTEGER,Yes
12,employees,birth_date,TIMESTAMP,No
13,employees,hire_date,TIMESTAMP,No
14,employees,address,VARCHAR(70),No
15,employees,city,VARCHAR(40),No
16,employees,state,VARCHAR(40),No
17,employees,country,VARCHAR(40),No
18,employees,postal_code,VARCHAR(10),No
19,employees,phone,VARCHAR(24),No
20,employees,fax,VARCHAR(24),No
21,employees,email,VARCHAR(60),No
22,customers,id,INTEGER,No
23,customers,first_name,VARCHAR(40),No
24,customers,last_name,VARCHAR(20),No
25,customers,company,VARCHAR(80),Yes
26,customers,address,VARCHAR(70),No
27,customers,city,VARCHAR(40),No
28,customers,state,VARCHAR(40),Yes
29,customers,country,VARCHAR(40),No
30,customers,postal_code,VARCHAR(10),Yes
31,customers,phone,VARCHAR(24),Yes
32,customers,fax,VARCHAR(24),Yes
33,customers,email,VARCHAR(60),No
34,customers,support_rep_id,INTEGER,No
35,genres,id,INTEGER,No
36,genres,name,VARCHAR(120),No
37,invoices,id,INTEGER,No
38,invoices,customer_id,INTEGER,No
39,invoices,invoice_date,TIMESTAMP,No
40,invoices,billing_address,VARCHAR(70),No
41,invoices,billing_city,VARCHAR(40),No
42,invoices,billing_state,VARCHAR(40),Yes
43,invoices,billing_country,VARCHAR(40),No
44,invoices,billing_postal_code,VARCHAR(10),Yes
45,invoices,total,"NUMERIC(10,2)",No
46,media_types,id,INTEGER,No
47,media_types,name,VARCHAR(120),No
48,tracks,id,INTEGER,No
49,tracks,name,VARCHAR(200),No
50,tracks,album_id,INTEGER,No
51,tracks,media_type_id,INTEGER,No
52,tracks,genre_id,INTEGER,No
53,tracks,composer,VARCHAR(220),Yes
54,tracks,milliseconds,INTEGER,No
55,tracks,bytes,INTEGER,No
56,tracks,unit_price,"NUMERIC(10,2)",No
57,invoice_lines,id,INTEGER,No
58,invoice_lines,invoice_id,INTEGER,No
59,invoice_lines,track_id,INTEGER,No
60,invoice_lines,unit_price,"NUMERIC(10,2)",No
61,invoice_lines,quantity,INTEGER,No
62,playlists,id,INTEGER,No
63,playlists,name,VARCHAR(120),No
64,playlist_tracks,playlist_id,INTEGER,No
65,playlist_tracks,track_id,INTEGER,No
